choicerandseed,const_alg,cost,exp_type,failrandseed,fprob,npublishers,nsubscribers,ntrees,oracle,overlap,randseed,reach,run,select_policy,topo,treatment
667984480798907347,red-blue,587.8,networkx,8853665121027057643,0.1,200,400,4,0.8025,7956,-1426273912677557294,0.6225,44,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,583.3,networkx,8853665121027057643,0.1,200,400,4,0.7775,7866,-1426273912677557294,0.529375,45,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,590.1,networkx,8853665121027057643,0.1,200,400,4,0.0,7934,-1426273912677557294,0.0,46,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,588.55,networkx,8853665121027057643,0.1,200,400,4,0.75,7963,-1426273912677557294,0.335625,47,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,590.75,networkx,8853665121027057643,0.1,200,400,4,0.7775,7953,-1426273912677557294,0.3125,48,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,red-blue,595.35,networkx,8853665121027057643,0.1,200,400,4,0.7875,8027,-1426273912677557294,0.64125,49,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl
667984480798907347,steiner,588.95,networkx,8853665121027057643,0.1,200,400,4,0.735,8046,-1426273912677557294,0.215,0,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,594.4,networkx,8853665121027057643,0.1,200,400,4,0.745,8076,-1426273912677557294,0.5925,1,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,587.85,networkx,8853665121027057643,0.1,200,400,4,0.81,8022,-1426273912677557294,0.60375,2,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,576.15,networkx,8853665121027057643,0.1,200,400,4,0.785,7906,-1426273912677557294,0.303125,3,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,588.35,networkx,8853665121027057643,0.1,200,400,4,0.75,8017,-1426273912677557294,0.47625,4,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,581.3,networkx,8853665121027057643,0.1,200,400,4,0.8425,7979,-1426273912677557294,0.705625,5,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,589.35,networkx,8853665121027057643,0.1,200,400,4,0.7825,8056,-1426273912677557294,0.4675,6,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,588.6,networkx,8853665121027057643,0.1,200,400,4,0.805,8020,-1426273912677557294,0.72375,7,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,592.85,networkx,8853665121027057643,0.1,200,400,4,0.7875,8065,-1426273912677557294,0.568125,8,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,589.6,networkx,8853665121027057643,0.1,200,400,4,0.7975,8014,-1426273912677557294,0.566875,9,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,586.9,networkx,8853665121027057643,0.1,200,400,4,0.805,8014,-1426273912677557294,0.57375,10,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,587.45,networkx,8853665121027057643,0.1,200,400,4,0.0,8024,-1426273912677557294,0.0,11,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
667984480798907347,steiner,587.45,networkx,8853665121027057643,0.1,200,400,4,0.7525,8018,-1426273912677557294,0.281875,12,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl
